fixture_id,date,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,home_formation,away_formation,goal_diff,result
16808043,2010-07-17 15:00:00,1789,Odense BK,1371,Esbjerg,3,0,4-4-2,4-4-1-1,3,H
16808046,2010-07-18 12:00:00,211,Horsens,939,FC Midtjylland,0,2,4-4-1-1,4-4-1-1,-2,A
16808053,2010-07-18 14:00:00,2394,Nordsjælland,86,Silkeborg IF,4,1,4-3-3,4-4-1-1,3,H
16808049,2010-07-18 14:00:00,2356,Randers FC,293,Brøndby IF,3,2,4-4-1-1,4-4-2,1,H
16808056,2010-07-18 16:00:00,390,Sønderjyske Fodbold,85,FC København,1,3,4-5-1,4-4-2,-2,A
16808059,2010-07-19 17:00:00,2650,Lyngby Boldklub,1020,Aalborg BK,2,4,4-2-3-1,4-4-2,-2,A
16808062,2010-07-24 15:00:00,939,FC Midtjylland,86,Silkeborg IF,2,0,4-4-1-1,4-4-1-1,2,H
16808065,2010-07-24 17:00:00,1371,Esbjerg,85,FC København,1,2,4-4-2,4-4-2,-1,A
16808068,2010-07-25 12:00:00,2650,Lyngby Boldklub,211,Horsens,1,0,4-3-3,4-4-2,1,H
16808071,2010-07-25 14:00:00,2394,Nordsjælland,390,Sønderjyske Fodbold,1,2,4-3-3,4-4-2,-1,A
16808074,2010-07-25 16:00:00,1020,Aalborg BK,293,Brøndby IF,0,2,4-4-2,4-2-3-1,-2,A
16808077,2010-07-26 17:00:00,1789,Odense BK,2356,Randers FC,1,1,4-3-1-2,4-4-1-1,0,D
16808080,2010-07-31 13:00:00,85,FC København,1020,Aalborg BK,1,1,4-4-2,4-4-1-1,0,D
16808083,2010-07-31 15:00:00,390,Sønderjyske Fodbold,1371,Esbjerg,3,0,4-3-1-2,4-4-2,3,H
16808086,2010-08-01 12:00:00,2356,Randers FC,2394,Nordsjælland,0,2,4-4-2,4-3-3,-2,A
16808089,2010-08-01 14:00:00,86,Silkeborg IF,2650,Lyngby Boldklub,2,2,4-4-1-1,4-2-3-1,0,D
16808092,2010-08-01 16:00:00,293,Brøndby IF,939,FC Midtjylland,1,0,4-4-2,4-5-1,1,H
16808095,2010-08-02 17:00:00,211,Horsens,1789,Odense BK,1,0,4-4-1-1,4-4-1-1,1,H
16808098,2010-08-07 15:00:00,1371,Esbjerg,939,FC Midtjylland,0,3,4-4-1-1,4-4-1-1,-3,A
